,FIPS,Unemployment_rate_2018
847,19079,2.8
848,19081,2.4
849,19083,2.9
850,19085,2.3
851,19087,2.5
852,19089,2.6
853,19091,2.6
854,19093,2.0
855,19095,2.1
856,19097,2.9
857,19099,2.7
858,19101,2.3
859,19103,2.0
860,19105,3.1
861,19107,3.0
862,19109,2.1
863,19111,4.1
864,19113,2.9
865,19115,2.7
866,19117,2.0
867,19119,1.6
868,19121,3.3
869,19123,2.6
870,19125,2.1
871,19127,4.6
872,19129,2.2
873,19131,1.9
874,19133,2.8
875,19135,3.0
876,19137,2.5
877,19139,2.7
878,19141,2.0
879,19143,2.0
880,19145,2.6
881,19147,2.3
882,19149,2.0
883,19151,1.9
884,19153,2.7
885,19155,2.4
886,19157,2.4
887,19159,2.9
888,19161,2.4
889,19163,3.0
890,19165,2.1
891,19167,1.8
892,19169,1.7
893,19171,3.1
894,19173,2.0
895,19175,3.7
896,19177,2.7
897,19179,3.5
898,19181,2.4
899,19183,2.4
900,19185,2.8
901,19187,3.4
902,19189,2.7
903,19191,2.7
904,19193,2.6
905,19195,2.8
906,19197,2.7
907,20000,3.3
908,20001,3.9
909,20003,3.4
910,20005,4.5
911,20007,2.5
912,20009,3.2
913,20011,4.1
914,20013,3.0
915,20015,3.4
916,20017,2.6
917,20019,3.9
918,20021,3.7
919,20023,2.3
920,20025,2.4
921,20027,3.1
922,20029,3.4
923,20031,4.6
924,20033,2.4
925,20035,3.3
926,20037,3.9
927,20039,2.9
928,20041,3.4
929,20043,3.5
930,20045,3.0
931,20047,2.3
932,20049,3.3
933,20051,2.3
934,20053,2.7
935,20055,2.4
936,20057,2.5
937,20059,3.5
938,20061,4.6
939,20063,2.1
940,20065,3.1
941,20067,2.7
942,20069,2.0
943,20071,2.0
944,20073,3.4
945,20075,1.9
946,20077,2.8
947,20079,3.2
948,20081,2.1
949,20083,2.4
950,20085,2.9
951,20087,3.2
952,20089,2.7
953,20091,2.8
954,20093,2.3
955,20095,3.2
956,20097,2.4
957,20099,3.9
958,20101,2.8
959,20103,3.6
960,20105,2.4
961,20107,5.8
962,20109,2.1
963,20111,3.5
964,20113,2.5
965,20115,3.1
966,20117,2.6
967,20119,2.0
968,20121,3.5
969,20123,2.2
970,20125,4.2
971,20127,2.7
972,20129,3.2
973,20131,2.3
974,20133,4.8
975,20135,2.6
976,20137,2.1
977,20139,3.7
978,20141,2.5
979,20143,2.8
980,20145,3.1
981,20147,2.5
982,20149,2.7
983,20151,2.7
984,20153,2.0
985,20155,3.5
986,20157,2.7
987,20159,2.9
988,20161,2.8
989,20163,3.1
990,20165,2.7
991,20167,2.9
992,20169,3.0
993,20171,1.9
994,20173,3.7
995,20175,3.2
996,20177,3.4
997,20179,2.2
998,20181,2.7
999,20183,2.4
1000,20185,2.6
1001,20187,2.5
1002,20189,2.9
1003,20191,3.5
1004,20193,2.5
1005,20195,3.1
1006,20197,3.1
1007,20199,2.4
1008,20201,2.6
1009,20203,2.1
1010,20205,4.3
1011,20207,4.3
1012,20209,4.8
1013,21000,4.3
1014,21001,5.0
1015,21003,3.8
1016,21005,3.6
1017,21007,7.0
1018,21009,4.4
1019,21011,6.8
1020,21013,6.3
1021,21015,3.4
1022,21017,4.0
1023,21019,5.9
1024,21021,4.4
1025,21023,4.9
1026,21025,7.3
1027,21027,5.4
1028,21029,4.0
1029,21031,4.9
1030,21033,4.8
1031,21035,3.9
1032,21037,3.3
1033,21039,5.0
1034,21041,4.1
1035,21043,9.2
1036,21045,4.7
1037,21047,5.4
1038,21049,4.1
1039,21051,7.0
1040,21053,5.5
1041,21055,5.1
1042,21057,4.5
1043,21059,4.0
1044,21061,5.3
1045,21063,9.4
1046,21065,5.4
1047,21067,3.3
1048,21069,5.5
1049,21071,6.5
1050,21073,3.7
1051,21075,5.7
1052,21077,4.1
